Î´,n,7,o,4,l,s,w,-,1,e,u,+,g,3,b,a,q,2,j,y,i,/,t,8,c,v,6,h,r,d,9,5,p,k,m,x,z,&,f,@
->68*,[69],[70],[69],[70],[69],[69],[69],[71],[70],[69],[69],[71],[69],[70],[69],[69],[69],[70],[69],[69],[69],[71],[69],[70],[69],[69],[70],[69],[69],[69],[70],[70],[69],[69],[69],[69],[69],[],[69],[71]
69,[72],[72],[72],[72],[72],[72],[72],[73],[72],[72],[72],[73],[72],[72],[72],[72],[72],[72],[72],[72],[72],[73],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[],[72],[73]
70,[],[74],[],[74],[],[],[],[73],[74],[],[],[73],[],[74],[],[],[],[74],[],[],[],[73],[],[74],[],[],[74],[],[],[],[74],[74],[],[],[],[],[],[],[],[73]
*71,[75],[76],[75],[76],[75],[75],[75],[],[76],[75],[75],[],[75],[76],[75],[75],[75],[76],[75],[75],[75],[],[75],[76],[75],[75],[76],[75],[75],[75],[76],[76],[75],[75],[75],[75],[75],[],[75],[]
72,[72],[72],[72],[72],[72],[72],[72],[73],[72],[72],[72],[73],[72],[72],[72],[72],[72],[72],[72],[72],[72],[73],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[72],[],[72],[73]
*73,[75],[76],[75],[76],[75],[75],[75],[],[76],[75],[75],[],[75],[76],[75],[75],[75],[76],[75],[75],[75],[],[75],[76],[75],[75],[76],[75],[75],[75],[76],[76],[75],[75],[75],[75],[75],[],[75],[]
74,[],[74],[],[74],[],[],[],[73],[74],[],[],[73],[],[74],[],[],[],[74],[],[],[],[73],[],[74],[],[],[74],[],[],[],[74],[74],[],[],[],[],[],[],[],[73]
*75,[75],[75],[75],[75],[75],[75],[75],[],[75],[75],[75],[],[75],[75],[75],[75],[75],[75],[75],[75],[75],[],[75],[75],[75],[75],[75],[75],[75],[75],[75],[75],[75],[75],[75],[75],[75],[],[75],[]
*76,[],[76],[],[76],[],[],[],[],[76],[],[],[],[],[76],[],[],[],[76],[],[],[],[],[],[76],[],[],[76],[],[],[],[76],[76],[],[],[],[],[],[],[],[]
